LabNo,CollectionSquare,HouseholdUnits,Residential Zone,Period,Vesselsform,Group,Ba,Zr,Sr,Rb,Zn,Ni,Fe,Mn,Ti,Ca,K
DLH147,1037A,D103,D,Hongshan,Indeterminate,G2,1043.19,384.67,171.12,90.71,68.13,113.79,44713.2,986.62,2261.84,5832.72,8638.51
DLH148,1036A,D103,D,Hongshan,Indeterminate,G2,1084.27,397.46,162.8,95.13,61.77,124.02,41996.04,817.77,3650.7,5441.84,14279.6
DLH149,1035B,D103,D,Hongshan,Indeterminate,G2,879.56,384.01,160.28,94.31,59.31,106.01,41217.26,812.21,3044.7,6100.48,9836.49
DLH150,1035B,D103,D,Hongshan,Indeterminate,G2,953.85,389.93,143.1,97.19,65.6,116.75,39789.99,780.95,3988.77,6511.25,16382.71
DLH151,1037B,D103,D,Hongshan,Indeterminate,G2,1156.4,361.89,168.51,103.63,65.73,122.91,39554.56,1004.08,3665.01,8400.23,16333.14
DLH152,1037A,D103,D,Hongshan,Indeterminate,G2,1043.19,384.67,171.12,90.71,68.13,113.79,44713.2,986.62,2261.84,5832.72,8638.51
DLH153,1035B,D103,D,Hongshan,Indeterminate,G2,1060.52,341.13,133.95,72.04,66.32,133.16,47208.57,611.24,2881.79,5318.52,10595.91
DLH154,1035B,D103,D,Hongshan,Indeterminate,G2,1023.21,376.57,181.09,98.49,68.65,113.68,42171.59,817.28,1700.6,6494.29,9859.74
DLH155,1034A,D103,D,Hongshan,Indeterminate,G2,1051.53,418.5,171.66,94.19,64.5,130.61,41757.13,840.59,2769.48,6017.77,15329.57
DLH156,1035A,D103,D,Hongshan,Indeterminate,G2,1005.84,309.7,162.7,106.22,76.14,662.3,41093.31,856.08,2559.77,6426.54,14577.38
DLH157,1019B,D101,D,Hongshan,Tongxingqi,G1,974.4,386.4,162.68,75.22,71.11,130.23,41655.53,1169.95,2992.52,7359.62,12487.63
DLH158,1009B,D101,D,Hongshan,Tongxingqi,G1,1062.59,310.4,182.97,70.57,79.02,159.18,41850.36,915.5,2816,7026.15,12890.03
DLH159,1009B,D101,D,Hongshan,Tongxingqi,G1,1062.59,310.4,182.97,70.57,79.02,159.18,41850.36,915.5,2816,7026.15,12890.03
DLH160,1006B,D101,D,Hongshan,Tongxingqi,G1,922.35,380.64,118.56,97.43,78.69,175.25,46154.13,1041.49,2769.84,5186.81,12601.27
DLH161,1005B,D101,D,Hongshan,Tongxingqi,G1,948.06,360.48,164.39,72.33,63.63,129.13,41191.32,756,3769.6,5918.21,14131.2
DLH162,1022B,D101,D,Hongshan,Tongxingqi,G1,1285.54,327.49,190.64,80.36,81.17,103.59,46606.96,1093.07,2591.78,5748.61,11727.99
DLH163,1023B,D101,D,Hongshan,Tongxingqi,G1,1151.6,360.77,172.95,76.92,51.19,116.58,42721.09,606.46,3109.93,6618.15,10912.2
DLH164,1004A,D101,D,Hongshan,Tongxingqi,G1,985.37,328.44,178.45,70.61,81.94,126.33,45619.27,1178.72,3418.88,6269.91,13024.11
DLH165,1006A,D101,D,Hongshan,Tongxingqi,G1,986.31,283.5,151.18,80.64,87.21,198.71,37686.04,984.12,3316.05,5611.61,15793.45
DLH166,1018A,D101,D,Hongshan,Tongxingqi,G1,1032.34,400.67,169.8,73.33,67.5,121.48,44865.55,1037.17,2730.76,5941.56,10944.15
DLH167,1012B,D101,D,Hongshan,Guan,G3,1062.76,364.9,132.03,104.99,47.8,127.67,22837.42,1022.26,1388.72,5157.68,24222.22
DLH168,1011B,D101,D,Hongshan,Indeterminate,G3,1027.99,305.92,158.67,80.71,47.51,466.68,44123.77,880.22,2607.57,5694.48,10427.44
DLH169,1002B,D101,D,Hongshan,Indeterminate,G3,1407.45,330.66,201.85,95.88,62.52,414.99,36748.59,743.17,3092.37,7200.59,13331.6
DLH170,1013B,D101,D,Hongshan,Guan,G3,1135.89,278.57,119.55,55.23,65.09,478.79,40861.29,640.11,3939.18,6804.59,12297.1
DLH171,1009B,D101,D,Hongshan,Indeterminate,G3,1175.09,311.93,183.51,92.16,51.94,232.71,42115.72,932.41,2793.32,5766.35,12498.63
DLH172,1006B,D101,D,Hongshan,Indeterminate,G3,1470.87,302.56,220.4,81.81,49.27,270.61,37801.58,1284.7,3454.44,8347,14168.29
DLH173,1004B,D101,D,Hongshan,Indeterminate,G3,1585.02,284.96,159.78,97.37,68.3,144.22,39210.64,1016.03,2565.49,7163.4,17767.5
DLH174,1004B,D101,D,Hongshan,Indeterminate,G3,1038.53,366.98,158.76,84.9,75.53,125.75,45987.89,950.92,2478.83,5917.31,10952.96
DLH175,1006B,D101,D,Hongshan,Indeterminate,G3,1267.67,229.04,161.95,84.82,35.11,470.26,31117.49,1150.17,2722.09,6383.91,16890.4
DLH176,1017A,D101,D,Hongshan,Indeterminate,G3,1063.86,315.13,157.72,108.05,79.3,597.24,41780.96,994.96,3978.07,5772.56,18509.88
DLH177,1012B,D101,D,Hongshan,Indeterminate,G2,922.94,383,161.63,84.94,64.63,201.75,43035.34,855.05,2414.68,6603.2,7903.65
DLH178,1011B,D101,D,Hongshan,Indeterminate,G2,958.83,330.12,158.8,70.1,70.41,185.95,37157.29,1083.15,2459.17,6497.39,12733.39
DLH179,1011B,D101,D,Hongshan,Indeterminate,G2,865.83,343.94,134.58,105.79,83.05,131.57,47101.86,1018.43,3789.85,6000.98,14179.39
DLH180,1011B,D101,D,Hongshan,Indeterminate,G2,1054.63,360.48,158.39,86.49,76.08,142.65,45532.09,993.23,2579.84,5747.27,10786.48
DLH181,1016B,D101,D,Hongshan,Indeterminate,G2,929.65,343.01,183.71,86.85,80.07,111.29,48225.84,980.07,3899.28,5833.51,13989.74
DLH182,1016B,D101,D,Hongshan,Indeterminate,G2,1221.7,318.46,153.82,91.54,63.23,172.91,40955.6,1036.14,4288.33,5577.01,16633.55
DLH183,1025B,D101,D,Hongshan,Indeterminate,G2,1163.65,338.98,155.17,76.33,51.96,104.88,47639.66,877.47,2992.34,6461.54,11736.08
DLH184,1014B,D101,D,Hongshan,Indeterminate,G2,848.09,355.63,172.59,81.21,83.9,120.3,47942.48,940.82,3914.51,5468.21,13980.63
DLH185,1007B,D101,D,Hongshan,Indeterminate,G2,856.24,331.84,182.72,86.78,81.79,118.49,47522.39,955.08,4271.03,5765.97,13315.93
DLH186,1018B,D101,D,Hongshan,Indeterminate,G2,864.83,391.55,161.02,105.79,64.3,104.48,39813.18,848.17,4063.44,6680.36,16890.8
DLH187,1020A,D101,D,Hongshan,Indeterminate,G2,874.02,344.13,137.59,93.25,65.02,98.54,40850.31,640.4,3481.61,4215.45,16470.6
DLH188,1002B,D101,D,Hongshan,Indeterminate,G2,903.86,337.19,156.73,81.21,76.8,160.77,40283.5,838.61,3605.36,4868.96,14553.88
DLH189,1008A,D101,D,Hongshan,Indeterminate,G2,1000.43,354.4,174.47,77.66,72.06,114.63,43482.93,912.01,3105.51,5699.36,12036.9
DLH190,1019B,D101,D,Hongshan,Indeterminate,G2,1074.22,379.86,120.71,99.78,81.65,171.86,49576.91,1119.87,2762.68,4212.89,10664.43
DLH191,1026B,D101,D,Hongshan,Indeterminate,G2,1019.08,334.46,179.49,82.66,67.31,117.34,45071.42,882.21,4158.23,5752.87,15327.66
DLH192,1009B,D101,D,Hongshan,Indeterminate,G2,908.25,343.56,179.25,74.63,76.87,107.56,47608.89,810.45,4759.92,5663.41,15971.84
DLH193,1005B,D101,D,Hongshan,Indeterminate,G2,772.44,386.85,143.95,97.27,68.7,87.59,42190.21,972.28,4345.3,6433.94,15942.82
DLH194,1005B,D101,D,Hongshan,Indeterminate,G2,1135.79,336.21,182.75,81.66,55.22,113.06,40090.49,892.07,3215.91,6963.39,13573.68
DLH195,1006B,D101,D,Hongshan,Indeterminate,G2,979.97,369.82,115.75,84.19,76.09,149.12,45205.36,1183.61,2987.83,5335.6,12608.23
DLH196,1009B,D101,D,Hongshan,Indeterminate,G2,1089.09,289.07,166.27,63.24,79.62,168.95,38672.99,871.61,3628.08,7166.98,13205.78
DLH197,1004B,D101,D,Hongshan,Indeterminate,G2,1043.47,340.6,182.32,87.68,77.92,138.73,46010.31,948.75,3380.32,5966.78,13206.61
DLH198,1022B,D101,D,Hongshan,Indeterminate,G2,1178.26,344.04,187.13,86.64,71.27,242.4,41873.93,1689.78,2759.07,9296.34,12071.36
DLH199,1010B,D101,D,Hongshan,Indeterminate,G2,837.39,372,160.22,61.94,69.95,157.03,40406.23,813.63,3073.86,6757.4,11750.79
DLH200,1010B,D101,D,Hongshan,Indeterminate,G2,938.07,356.41,171.41,64.83,76.81,131.05,46792.06,778.49,4559.21,5202.29,14640.45
DLH201,1004B,D101,D,Hongshan,Indeterminate,G2,998.57,296.26,125.03,88.3,87.91,196.29,39523.44,854.76,4355.45,4891.24,17203.21
DLH202,1005B,D101,D,Hongshan,Guan,G2,1086.01,122.45,111.04,25.41,60.03,85.41,13295.33,753.75,3413.62,7435.17,8175.67
DLH203,1021B,D101,D,Hongshan,Guan,G2,1188.46,107.69,86.16,16.99,83.1,102.83,10672.56,624.21,2488.7,5648.44,12417.25
DLH204,1018B,D101,D,Hongshan,Guan,G2,1044.14,123.63,93.46,23.8,66.51,83.74,12775.67,646.04,2318.99,6250.26,12810.27
DLH205,1006B,D101,D,Hongshan,Bo,G2,1076.02,256.98,93.06,49.81,95.91,106.69,28913.72,846.34,3759.56,4480.36,10466.1
DLH206,1138B,D109,D,Hongshan,Guan,G3,949.66,351.36,236.66,91.93,64.24,102.62,31801.47,790.91,2240.38,7849.43,10465.77
DLH207,1138B,D109,D,Hongshan,Indeterminate,G3,1341.15,314.82,174.21,83.4,71.4,153.97,44085.1,922.58,3323.34,7135.04,10192.7
DLH208,1133A,D109,D,Hongshan,Indeterminate,G3,964.11,372.88,178.83,96.81,63.05,149.9,38815.82,800.13,1902.19,7661.34,9895.29
DLH209,1127B,D109,D,Hongshan,Indeterminate,G3,977.65,337.91,162.12,69.74,64.16,134.97,34099.25,671.91,2158.04,5892.82,12829.86
DLH210,1132B,D109,D,Hongshan,Guan,G3,985.09,389.02,172.05,79.42,78.25,173.32,46794.15,951.56,4049.63,4690.25,13477.67
DLH211,1132B,D109,D,Hongshan,Indeterminate,G3,993.1,389.32,161.88,93.85,63.83,120.79,41122.62,753.11,3129.62,6037.61,11501.37
DLH212,1128B,D109,D,Hongshan,Indeterminate,G3,981.53,371.88,146.51,84.23,67.43,145.38,38821.02,892.39,3439.39,5876.94,12792.34
DLH213,1131B,D109,D,Hongshan,Indeterminate,G3,898.45,395.09,210.26,127.58,76.59,129.42,47973.88,964.23,1961.77,2422.98,9369.17
DLH214,1133B,D109,D,Hongshan,Indeterminate,G3,917.58,251.88,166.79,47.47,68.86,195.27,37058.62,877.4,3073.86,6852.45,13306.64
DLH215,1127A,D109,D,Hongshan,Indeterminate,G3,1133.42,412.1,175.17,94.14,65.43,318.67,43012.21,840.48,2817.09,5741.21,12185.67
DLH216,1136A,D109,D,Hongshan,Tongxingqi,G1,1000.55,358.96,173.81,71.34,62.74,147.01,42836.13,894.24,2982.04,6274.51,11496.4
DLH217,1138A,D109,D,Hongshan,Tongxingqi,G1,931.28,300,151.87,61.76,88.19,247.85,40599.42,802.27,3544.35,5903.67,10731.91
DLH218,1128A,D109,D,Hongshan,Tongxingqi,G1,1029.22,405.4,135.15,96.99,77.16,128.82,50344.78,933.03,3344.81,3601.05,11846.13
DLH219,1133A,D109,D,Hongshan,Tongxingqi,G1,977.2,275.12,164.45,83.93,85.73,207.18,34935.75,770.47,2248.21,6250.54,13691.31
DLH220,1122A,D109,D,Hongshan,Tongxingqi,G1,969.18,374.58,164.2,79.02,73.27,142.43,40996.36,763.89,2844.49,6509.7,12030.53
DLH221,1136B,D109,D,Hongshan,Tongxingqi,G1,922.91,384.34,164.26,82.26,60.12,133.26,40794.27,1251.67,2872.08,5570.87,12857.17
DLH222,1123A,D109,D,Hongshan,Tongxingqi,G1,974.49,284.98,156.13,80.77,82.52,191.32,36559.06,1314.4,2370.24,6120.65,11798.62
DLH223,1123A,D109,D,Hongshan,Tongxingqi,G1,929.74,343.93,168.03,88.21,75.8,129.21,43795.47,983.51,3236.32,5697.51,14060.61
DLH224,1142A,D109,D,Hongshan,Tongxingqi,G1,1437.47,332.41,194.97,87.5,57.87,123,38115.44,903.78,3783.57,7712.21,16691.48
DLH225,1127A,D109,D,Hongshan,Tongxingqi,G1,940.87,299.44,151.96,57.42,81.04,148.78,41847.42,695.45,2431.11,5912.45,8583.16
DLH226,1127B,D109,D,Hongshan,Indeterminate,G2,1029.89,374.33,172.89,75.58,64.97,146.76,41739.16,923.79,2828.66,6650.77,9290.02
DLH227,1138B,D109,D,Hongshan,Indeterminate,G2,900.64,385.13,162.21,80.92,72.97,115.66,43821.3,943.84,3291.37,5449.85,12370.49
DLH228,1132B,D109,D,Hongshan,Indeterminate,G2,1213.66,315.6,155.35,82.69,79.04,192.67,38694.64,1093.38,2629.84,7077.67,11650.5
DLH229,1132A,D109,D,Hongshan,Indeterminate,G2,976.27,353.76,110.99,75.42,77.54,184.61,39774.33,661.88,1531.74,4879.32,10037.4
DLH230,1126B,D109,D,Hongshan,Indeterminate,G2,1086.96,367.96,174.8,74.45,56.07,118.13,42550.53,722.61,4083.05,6433.36,13524.88
DLH231,1136B,D109,D,Hongshan,Indeterminate,G2,1010.52,359.79,165.58,59.32,55.5,108.05,41583.38,886.82,4109.52,5849.89,12353.28
DLH232,1131B,D109,D,Hongshan,Indeterminate,G2,1163.76,291.93,170.1,87.28,77.58,140.94,39956.01,871.01,4235.57,5670.54,17007.62
DLH233,1142A,D109,D,Hongshan,Indeterminate,G2,1154.24,367.75,167.35,87.88,62.33,140.95,37516.72,809.95,2629.76,6203.11,12746.52
DLH234,1131A,D109,D,Hongshan,Indeterminate,G2,1025.93,316.48,169.57,86.43,78.11,144.02,41766.81,802.73,2856,5874.48,13125.87
DLH235,1128A,D109,D,Hongshan,Indeterminate,G2,1055.65,365.05,166.17,72.38,69.04,149.06,39528.66,888.95,3259.13,6134.93,14004.95
DLH236,1136A,D109,D,Hongshan,Indeterminate,G2,1173.37,349.88,162.32,82.71,63.19,134.73,38017.6,715.69,3007.13,5399.92,13429.22
DLH237,1133B,D109,D,Hongshan,Indeterminate,G2,1014.17,330.21,135.36,64.4,91.35,279.07,48301.05,1219.76,3581.21,5859.76,11738.08
DLH238,1131B,D109,D,Hongshan,Indeterminate,G2,1042.98,428.3,163.6,78.31,76.27,153.06,47372.12,911.58,1557.85,4320.34,7541.4
DLH239,1133B,D109,D,Hongshan,Indeterminate,G2,1034.55,343,176.18,82.22,82.31,113.69,46542.59,1183.17,4282.67,5520.21,15664.1
DLH240,1133B,D109,D,Hongshan,Indeterminate,G2,1034.55,343,176.18,82.22,82.31,113.69,46542.59,1183.17,4282.67,5520.21,15664.1
DLH241,1133B,D109,D,Hongshan,Indeterminate,G2,1040.05,352.42,172.21,66.49,77.69,111.55,46802.95,985.42,3892.26,5432.34,13742.27
DLH242,1125B,D109,D,Hongshan,Indeterminate,G2,987.5,398.05,154.88,89.53,71.72,149.77,52058.79,1270.06,4291.08,5145.64,14435.73
DLH243,1138B,D109,D,Hongshan,Indeterminate,G2,1037.3,347.71,174.2,74.36,80,112.62,46672.77,1084.3,4087.47,5476.28,14703.19
DLH244,1138B,D109,D,Hongshan,Indeterminate,G2,1020.7,364.49,167.76,79.41,77.24,125,48468.11,1146.22,4155.34,5366.06,14614.03
DLH245,1142B,D109,D,Hongshan,Indeterminate,G2,1021.39,365.67,167.26,77.45,76.66,124.74,48500.66,1121.5,4106.54,5355.08,14373.8
DLH246,1142A,D109,D,Hongshan,Indeterminate,G2,1213.78,333.16,180.69,81.93,57.14,120.6,37307.62,597.71,2871.69,6695.32,13609.89
DLH247,1142B,D109,D,Hongshan,Indeterminate,G2,1073.29,352.76,172.48,78.29,72.76,120.74,45237.29,987.43,3805.26,5723.18,14325.23
DLH248,1142A,D109,D,Hongshan,Indeterminate,G2,1038.46,360.97,169.16,78.38,75.55,123.49,47402.02,1085.05,4022.38,5481.44,14437.69
DLH249,1142A,D109,D,Hongshan,Indeterminate,G2,1055.88,356.86,170.82,78.33,74.16,122.12,46319.65,1036.24,3913.82,5602.31,14381.46
DLH250,1138A,D109,D,Hongshan,Indeterminate,G2,1055.88,356.86,170.82,78.33,74.16,122.12,46319.65,1036.24,3913.82,5602.31,14381.46
DLH251,0027B,S016,S,Hongshan,Indeterminate,G3,1133.47,331.15,146.44,93.7,73.18,162.1,32849.39,633.82,2802.53,5011.64,17777.89
DLH252,0027B,S016,S,Hongshan,Indeterminate,G3,1155.36,295.53,223.44,106.62,63.31,134.36,35216.93,737.78,2760.62,4819.91,16196.19
DLH253,0021B,S016,S,Hongshan,Incense Burner,G3,951.19,367.37,165.45,68.25,83.01,142.93,46911.26,913.53,3351.56,6874,12460.5
DLH254,0014A,S016,S,Hongshan,Guan,G3,1114.85,342.75,150.44,74.7,71.65,160.92,48650.63,1157.4,3180.68,4965.57,13143.3
DLH255,0025B,S016,S,Hongshan,Guan,G3,1349.61,311.47,196.52,92.34,50.38,123.18,35738.61,893.65,3426.76,7312.25,16421.87
DLH256,0021B,S016,S,Hongshan,Tongxingqi,G1,1206.61,316.58,190.13,91.22,61.78,139.49,39868.72,929.61,3122.69,5699.24,15253.79
DLH257,0015B,S016,S,Hongshan,Tongxingqi,G1,1081.64,323.14,160.15,85.03,71.76,170.67,42478.4,1008.2,2414.99,7788.78,10289.04
DLH258,0028B,S016,S,Hongshan,Tongxingqi,G1,1294.58,367.08,182.37,83.83,74.91,134.45,49154.59,1181.85,3745.76,7546.35,13573.58
DLH259,0023B,S016,S,Hongshan,Tongxingqi,G1,1233.11,329.57,182.29,88.11,64.71,141.95,41810.08,1003.33,3177.55,7086.66,13884.57
DLH260,0020A,S016,S,Hongshan,Tongxingqi,G1,1054.71,326.23,137.76,62.79,94.01,257.75,45755.43,1130.94,2335.1,5992.3,10726.6
DLH261,0022A,S016,S,Hongshan,Tongxingqi,G1,941.17,355.24,133.16,97.58,76.06,148.65,44778.16,932.79,2966.15,5641.84,13932.13
DLH262,0023B,S016,S,Hongshan,Tongxingqi,G1,1027.78,292.71,136.9,51.31,81.49,249.81,34422.41,914.15,2234.81,6994.76,12895.62
DLH263,0025A,S016,S,Hongshan,Tongxingqi,G1,990.86,289.51,135.55,57.16,87.33,265.9,36200.99,893.81,2680.51,6758.94,12092.46
DLH264,0029A,S016,S,Hongshan,Tongxingqi,G1,1003.63,315.92,135.84,67.21,84.72,230.53,40289.25,967.92,2554.14,6346.96,12411.7
DLH265,0023A,S016,S,Hongshan,Tongxingqi,G1,978.55,320.22,134.85,73.98,82.7,215.03,40422.8,931.51,2733.6,6249.25,12812.1
DLH266,0029B,S016,S,Hongshan,Indeterminate,G2,839.82,291.74,118.28,60.4,87.53,221.46,31833.81,842.74,3704.04,6026.07,13858.09
DLH267,0029B,S016,S,Hongshan,Indeterminate,G2,991.01,308.55,135.41,66.12,84.92,237.15,38971.01,931.08,2656.08,6451.72,12438.75
DLH268,0029B,S016,S,Hongshan,Indeterminate,G2,1189.78,331.21,171.04,96.16,69.44,174.86,45391.56,1204.86,2693,6859.82,13103.79
DLH269,0054A,S016,S,Hongshan,Indeterminate,G2,999.79,312.93,139.9,74.17,81.15,212.12,39154.8,977.55,2946.68,6396.71,13053.18
DLH270,0037B,S016,S,Hongshan,Indeterminate,G2,1005.1,311.11,141.16,74.21,80.76,211.4,38837.79,989.06,2999.95,6433.58,13113.45
DLH271,0037B,S016,S,Hongshan,Indeterminate,G2,1146.72,322.81,159.72,66.72,73.1,150.81,35825.8,947.01,2605.22,8145.79,12184.62
DLH272,0054A,S016,S,Hongshan,Indeterminate,G2,953.05,314.94,123.97,72.35,81.2,179.48,34590.3,703.47,2195.43,5468.68,10864.6
DLH273,0028A,S016,S,Hongshan,Indeterminate,G2,950.08,333,171.78,89.72,77.71,125.43,48248.63,1096.93,3539.51,7596.04,15082.39
DLH274,0028B,S016,S,Hongshan,Indeterminate,G2,846.06,336.19,150.25,104.13,66.62,126.75,47469.41,873.1,3755.21,7429.99,15662.72
DLH275,0026B,S016,S,Hongshan,Indeterminate,G2,780.98,404.44,163.92,78.78,84.55,112.63,57618.55,1179.02,3171.88,6697.38,10094.26
DLH276,0026B,S016,S,Hongshan,Indeterminate,G2,916.4,328.04,148.67,88.73,75.18,143.89,43436.11,891.17,3163.38,6831.57,13869.9
DLH277,0028A,S016,S,Hongshan,Indeterminate,G2,889.31,343.32,151.72,86.74,77.05,137.64,46272.6,948.74,3165.08,6804.73,13114.77
DLH278,0026A,S016,S,Hongshan,Indeterminate,G2,922.23,370.22,179.1,67.16,53.06,110.11,42933.77,880.91,3080.23,7819.04,11790.07
DLH279,0028B,S016,S,Hongshan,Indeterminate,G2,877.23,361.51,160.85,80.35,72.46,126.07,47565.26,974.96,3145.14,7038.18,12217.25
DLH280,0024A,S016,S,Hongshan,Indeterminate,G2,868.86,358.97,143.31,86.32,78.25,136.95,41451.14,916.63,3377.67,6047.29,11980.23
DLH281,0054B,S016,S,Hongshan,Indeterminate,G2,1167.52,314.55,152.09,88.29,79.72,234.48,35374.82,892.62,3127.11,7021.59,15407.69
DLH282,0025B,S016,S,Hongshan,Indeterminate,G2,972.2,365.26,148.81,78.91,83.18,205.42,42999.21,1397.53,3721.99,6216.21,14093.59
DLH283,0026B,S016,S,Hongshan,Indeterminate,G2,1065.46,356.95,144.26,100.27,75.13,163.87,43332.87,814.09,2879.67,5305.81,13042.21
DLH284,0026B,S016,S,Hongshan,Indeterminate,G2,1018.51,348.93,147.12,88.45,79.07,185.18,40789.51,1005.22,3276.61,6147.73,13630.93
DLH285,0026B,S016,S,Hongshan,Indeterminate,G2,919.44,330.7,153.85,83.81,68.11,158.71,45009.28,914.17,3833.07,6489.2,12054.41
DLH286,0030A,S016,S,Hongshan,Indeterminate,G2,993.9,350.46,148.51,87.86,76.37,178.3,43032.72,1032.75,3427.84,6039.74,13205.29
DLH287,0028A,S016,S,Hongshan,Indeterminate,G2,986.51,418.96,153.26,79.9,58.7,174.17,49472.64,1535.46,2278.11,4681.95,10509.3
DLH288,0026A,S016,S,Hongshan,Indeterminate,G2,979.59,362.26,150.68,85,70.56,174.09,44576.04,1121.9,3203.91,5839.65,12349.98
